Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Application Load Balancer,0,149.65,1795.80,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,33.3,399.60,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Amazon EC2,0,869.5,10434.00,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,9258.24,111098.88,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Nodes (2), Instance Type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,1228.8,14745.60,USD,"DT Inbound: Internet (10 TB per month), DT Inbound: All other regions (10 TB per month), DT Outbound: Internet (10 TB per month), DT Outbound: US East (Ohio) (10 TB per month), DT Intra-Region: (10 TB per month), Data transfer cost (1228.8)"
My Estimate,US East (N. Virginia),,Data Transfer,0,1228.8,14745.60,USD,"DT Inbound: Internet (10 TB per month), DT Inbound: All other regions (10 TB per month), DT Outbound: Internet (10 TB per month), DT Outbound: US East (Ohio) (10 TB per month), DT Intra-Region: (10 TB per month), Data transfer cost (1228.8)"
My Estimate,US West (Oregon),,Amazon EC2,0,869.5,10434.00,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t2.xlarge)"
My Estimate,US West (Oregon),,Amazon RDS for PostgreSQL,0,2550.08,30600.96,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (2 TB per month), Nodes (1), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US West (Oregon),,Network Address Translation (NAT) Gateway,0,493.65,5923.80,USD,Number of NAT Gateways (1)
My Estimate,US West (Oregon),,Data Transfer,0,1331.2,15974.40,USD,"DT Inbound: Internet (10 TB per month), DT Inbound: All other regions (10 TB per month), DT Outbound: Internet (10 TB per month), DT Outbound: All other regions (10 TB per month), DT Intra-Region: (10 TB per month), Data transfer cost (1331.2)"
My Estimate,US West (Oregon),,Application Load Balancer,0,149.65,1795.80,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
